,Processor Time,LogBytesFlushedSec,DiskWrites,DiskReads,CPU-DTU-Value,CPU-True-DTU-Value,CPU-DTU-Name,IOP-DTU-Value,IOP-True-DTU-Value,IOP-DTU-Name,LogBytes-DTU-Value,LogBytes-True-DTU-Value,LogBytes-DTU-Name,TotalServiceTierName
9881,5,7,0,8,100,80.0,Standard - S3,5,2.5,Basic,5,0.0001335144,Basic,100
9882,5,8,3,5,100,80.0,Standard - S3,5,2.5,Basic,5,0.000152587891,Basic,100
9883,2,6,7,6,50,32.0,Standard - S2,5,4.0625,Basic,5,0.000114440918,Basic,50
9884,1,6,3,1,20,16.0,Standard - S1,5,1.25,Basic,5,0.000114440918,Basic,20
9885,7,9,.,9,200,112.0,Standard - S4,5,2.8125,Basic,5,0.000171661377,Basic,200
9886,8,.,1,7,200,128.0,Standard - S4,5,2.5,Basic,5,0.0,Basic,200
9887,1,4,3,1,20,16.0,Standard - S1,5,1.25,Basic,5,7.62939453e-05,Basic,20
9888,6,7,4,0,100,96.0,Standard - S3,5,1.25,Basic,5,0.0001335144,Basic,100
9889,3,.,4,6,50,48.0,Standard - S2,5,3.125,Basic,5,0.0,Basic,50
9890,8,0,2,0,200,128.0,Standard - S4,5,0.625,Basic,5,0.0,Basic,200
9891,.,7,4,.,5,0.0,Basic,5,1.25,Basic,5,0.0001335144,Basic,5
9892,1,.,6,7,20,16.0,Standard - S1,5,4.0625,Basic,5,0.0,Basic,20
9893,0,8,5,7,5,0.0,Basic,5,3.75,Basic,5,0.000152587891,Basic,5
9894,8,7,7,2,200,128.0,Standard - S4,5,2.8125,Basic,5,0.0001335144,Basic,200
9895,8,8,7,1,200,128.0,Standard - S4,5,2.5,Basic,5,0.000152587891,Basic,200
9896,5,0,6,3,100,80.0,Standard - S3,5,2.8125,Basic,5,0.0,Basic,100
9897,.,5,1,4,5,0.0,Basic,5,1.5625,Basic,5,9.536743e-05,Basic,5
9898,7,0,9,0,200,112.0,Standard - S4,5,2.8125,Basic,5,0.0,Basic,200
9899,5,6,5,0,100,80.0,Standard - S3,5,1.5625,Basic,5,0.000114440918,Basic,100
9900,.,6,4,2,5,0.0,Basic,5,1.875,Basic,5,0.000114440918,Basic,5
9901,0,1,6,5,5,0.0,Basic,5,3.4375,Basic,5,1.90734863e-05,Basic,5
9902,3,9,7,5,50,48.0,Standard - S2,5,3.75,Basic,5,0.000171661377,Basic,50
9903,1,9,3,5,20,16.0,Standard - S1,5,2.5,Basic,5,0.000171661377,Basic,20
9904,.,8,3,2,5,0.0,Basic,5,1.5625,Basic,5,0.000152587891,Basic,5
9905,4,1,.,.,100,64.0,Standard - S3,5,0.0,Basic,5,1.90734863e-05,Basic,100
9906,1,7,8,4,20,16.0,Standard - S1,5,3.75,Basic,5,0.0001335144,Basic,20
9907,6,3,2,2,100,96.0,Standard - S3,5,1.25,Basic,5,5.722046e-05,Basic,100
9908,0,2,7,9,5,0.0,Basic,5,5.0,Basic,5,3.81469727e-05,Basic,5
9909,6,8,.,0,100,96.0,Standard - S3,5,0.0,Basic,5,0.000152587891,Basic,100
9910,7,4,1,6,200,112.0,Standard - S4,5,2.1875,Basic,5,7.62939453e-05,Basic,200
9911,.,4,0,9,5,0.0,Basic,5,2.8125,Basic,5,7.62939453e-05,Basic,5
9912,5,.,0,3,100,80.0,Standard - S3,5,0.9375,Basic,5,0.0,Basic,100
9913,6,3,6,2,100,96.0,Standard - S3,5,2.5,Basic,5,5.722046e-05,Basic,100
9914,1,5,3,1,20,16.0,Standard - S1,5,1.25,Basic,5,9.536743e-05,Basic,20
9915,6,0,.,.,100,96.0,Standard - S3,5,0.0,Basic,5,0.0,Basic,100
9916,8,.,5,8,200,128.0,Standard - S4,5,4.0625,Basic,5,0.0,Basic,200
9917,7,0,8,5,200,112.0,Standard - S4,5,4.0625,Basic,5,0.0,Basic,200
9918,2,9,0,6,50,32.0,Standard - S2,5,1.875,Basic,5,0.000171661377,Basic,50
9919,7,.,6,4,200,112.0,Standard - S4,5,3.125,Basic,5,0.0,Basic,200
9920,3,7,.,.,50,48.0,Standard - S2,5,0.0,Basic,5,0.0001335144,Basic,50
9921,0,2,0,0,5,0.0,Basic,5,0.0,Basic,5,3.81469727e-05,Basic,5
9922,7,2,.,.,200,112.0,Standard - S4,5,0.0,Basic,5,3.81469727e-05,Basic,200
9923,1,5,2,6,20,16.0,Standard - S1,5,2.5,Basic,5,9.536743e-05,Basic,20
9924,9,5,9,0,200,144.0,Standard - S4,5,2.8125,Basic,5,9.536743e-05,Basic,200
9925,8,0,4,1,200,128.0,Standard - S4,5,1.5625,Basic,5,0.0,Basic,200
9926,1,6,2,7,20,16.0,Standard - S1,5,2.8125,Basic,5,0.000114440918,Basic,20
9927,2,8,1,4,50,32.0,Standard - S2,5,1.5625,Basic,5,0.000152587891,Basic,50
9928,4,9,9,9,100,64.0,Standard - S3,10,0.8397163,Standard - S0,5,0.000171661377,Basic,100
9929,4,6,0,0,100,64.0,Standard - S3,5,0.0,Basic,5,0.000114440918,Basic,100
9930,8,7,2,0,200,128.0,Standard - S4,5,0.625,Basic,5,0.0001335144,Basic,200
9931,1,9,0,5,20,16.0,Standard - S1,5,1.5625,Basic,5,0.000171661377,Basic,20
9932,7,2,4,9,200,112.0,Standard - S4,5,4.0625,Basic,5,3.81469727e-05,Basic,200
9933,5,0,6,3,100,80.0,Standard - S3,5,2.8125,Basic,5,0.0,Basic,100
9934,2,3,9,3,50,32.0,Standard - S2,5,3.75,Basic,5,5.722046e-05,Basic,50
9935,9,2,1,4,200,144.0,Standard - S4,5,1.5625,Basic,5,3.81469727e-05,Basic,200
9936,4,8,5,8,100,64.0,Standard - S3,5,4.0625,Basic,5,0.000152587891,Basic,100
9937,6,0,8,9,100,96.0,Standard - S3,10,0.130496472,Standard - S0,5,0.0,Basic,100
9938,.,7,8,1,5,0.0,Basic,5,2.8125,Basic,5,0.0001335144,Basic,5
9939,.,3,4,.,5,0.0,Basic,5,1.25,Basic,5,5.722046e-05,Basic,5
9940,4,1,0,6,100,64.0,Standard - S3,5,1.875,Basic,5,1.90734863e-05,Basic,100
9941,0,1,8,4,5,0.0,Basic,5,3.75,Basic,5,1.90734863e-05,Basic,5
9942,1,4,2,8,20,16.0,Standard - S1,5,3.125,Basic,5,7.62939453e-05,Basic,20
9943,9,8,8,0,200,144.0,Standard - S4,5,2.5,Basic,5,0.000152587891,Basic,200
9944,2,9,2,9,50,32.0,Standard - S2,5,3.4375,Basic,5,0.000171661377,Basic,50
9945,4,2,0,3,100,64.0,Standard - S3,5,0.9375,Basic,5,3.81469727e-05,Basic,100
9946,4,4,0,1,100,64.0,Standard - S3,5,0.3125,Basic,5,7.62939453e-05,Basic,100
9947,1,5,0,1,20,16.0,Standard - S1,5,0.3125,Basic,5,9.536743e-05,Basic,20
9948,5,3,.,9,100,80.0,Standard - S3,5,2.8125,Basic,5,5.722046e-05,Basic,100
9949,6,2,4,1,100,96.0,Standard - S3,5,1.5625,Basic,5,3.81469727e-05,Basic,100
9950,1,5,6,8,20,16.0,Standard - S1,5,4.375,Basic,5,9.536743e-05,Basic,20
9951,9,9,1,8,200,144.0,Standard - S4,5,2.8125,Basic,5,0.000171661377,Basic,200
9952,9,3,2,4,200,144.0,Standard - S4,5,1.875,Basic,5,5.722046e-05,Basic,200
9953,4,.,0,8,100,64.0,Standard - S3,5,2.5,Basic,5,0.0,Basic,100
9954,8,1,0,2,200,128.0,Standard - S4,5,0.625,Basic,5,1.90734863e-05,Basic,200
9955,1,5,3,8,20,16.0,Standard - S1,5,3.4375,Basic,5,9.536743e-05,Basic,20
9956,6,.,1,9,100,96.0,Standard - S3,5,3.125,Basic,5,0.0,Basic,100
9957,.,1,5,.,5,0.0,Basic,5,1.5625,Basic,5,1.90734863e-05,Basic,5
9958,7,7,1,7,200,112.0,Standard - S4,5,2.5,Basic,5,0.0001335144,Basic,200
9959,3,9,.,.,50,48.0,Standard - S2,5,0.0,Basic,5,0.000171661377,Basic,50
9960,9,2,7,3,200,144.0,Standard - S4,5,3.125,Basic,5,3.81469727e-05,Basic,200
9961,1,.,9,7,20,16.0,Standard - S1,5,5.0,Basic,5,0.0,Basic,20
9962,6,0,2,7,100,96.0,Standard - S3,5,2.8125,Basic,5,0.0,Basic,100
9963,.,2,2,.,5,0.0,Basic,5,0.625,Basic,5,3.81469727e-05,Basic,5
9964,3,.,0,1,50,48.0,Standard - S2,5,0.3125,Basic,5,0.0,Basic,50
9965,0,7,4,2,5,0.0,Basic,5,1.875,Basic,5,0.0001335144,Basic,5
