Seconds,Processor,DiskRead,DiskWrite,LogBytes
00:36.1,16.21147625,902.0354489,88.00345843,122884.8292
00:37.1,15.86428988,881.0916984,101.3993798,120970.4446
00:38.1,17.30215859,545.5468411,79.76406883,121005.0466
00:39.1,16.50876084,551.0101209,69.00126741,60929.11914
00:40.1,20.48019644,1603.879584,118.1495089,120985.0972
00:41.2,17.68978723,758.1454659,99.44505462,120988.2011
00:42.2,17.28830304,571.0153667,74.00199148,61441.65346
00:43.2,16.63044414,626.2387522,157.5443402,125027.1884
00:44.2,16.70185222,1176.890407,106.990037,122868.5583
00:45.2,16.11277668,1303.121905,98.00916859,604728.5713
00:46.2,14.41883245,959.9231771,80.73200054,60489.92821
00:47.2,19.04265236,481.0480835,91.00909687,61446.14189
00:48.2,16.01602472,690.0144426,158.0033071,122882.572
00:49.2,15.82311309,283.9640957,167.9787608,61432.23253
00:50.2,16.34199989,510.0440091,270.7762596,120992.6792
00:51.2,14.55053365,297.0124335,193.0080797,125445.2514
00:52.2,14.84357117,332.9938836,160.9970428,184316.6145
00:53.2,15.14051171,479.9981547,154.9994041,122879.5276
00:54.2,14.94108678,217.9807256,138.9877104,184303.7034
00:55.2,14.80389823,224.5044619,150.6543099,581789.5275
00:56.2,15.47949133,279.6300305,218.5840379,120989.2188
00:57.2,15.82005746,353.022318,164.0103687,184331.6534
00:58.2,15.43030736,273.9769446,125.9893979,183792.5337
00:59.2,15.92113137,279.9996412,97.99987441,122879.8425
01:00.3,17.20572728,250.1418306,166.4329503,181520.2449
01:01.3,18.45657336,348.9418688,294.9508633,184289.2987
01:02.3,17.48146022,390.0151605,230.0089408,183815.1452
01:03.3,15.43303731,268.9782845,215.982563,122870.0803
01:04.3,15.9562366,173.2907566,174.2753632,293397.0047
01:05.3,17.38799803,214.9708908,260.9646628,1347913.479
01:06.3,19.32221618,427.4001434,160.521252,181517.0378
01:07.3,23.86251161,316.8820041,486.4671745,164724.3749
01:08.3,22.85214632,374.2730662,166.1212005,245939.4352
01:09.3,21.92199572,295.3794869,141.7821537,120987.4378
01:10.3,20.50931442,270.982637,193.9875704,245744.2541
01:11.3,17.2857869,299.9856481,116.9944028,122362.1459
01:12.3,17.79085309,344.5524507,120.10114,181451.1649
01:13.4,15.57287227,204.8198753,197.9268987,242506.7323
01:14.4,24.32453749,217.6388773,90.6007996,41345.47794
01:15.4,24.9998725,183.9963846,318.993732,1191400.59
01:16.4,20.9960289,236.0042341,64.00114823,61441.1023
01:17.4,23.07634745,762.995964,53.16358975,60488.35101
01:18.4,25.0957101,196.9428505,104.3797108,60500.84367
01:19.4,24.9999025,240.9899117,76.99677678,61437.42812
01:20.4,24.70680412,94.99788987,128.9971347,122877.2706
01:21.4,24.90378823,83.69349461,116.1862631,120487.1241
01:22.4,24.9992123,108.3088183,63.01603976,67049.0663
01:23.4,25.19524268,147.991529,3209.816272,982983.7344
01:24.5,26.70406942,795.224785,143.5283758,359488.1526
01:25.5,27.53903102,709.990295,75.99896116,781813.3133
01:26.5,28.07631621,719.7434687,65.96827962,362963.3821
01:27.5,30.37073793,754.0370409,70.00343881,409108.0968
01:28.5,28.61303728,724.9560264,77.99526905,368105.6719
01:29.5,26.9529666,328.9873523,47.99815474,61437.63806
01:30.5,24.8042689,31.00047672,33.00050748,61440.94483
01:31.5,25.19495842,84.00075352,46.00041264,61440.55115
01:32.5,24.80447193,93.00405223,68.00296292,88067.83715
01:33.5,24.90346894,91,141,122880
01:34.5,25.28685416,114.2108077,136.8560541,181477.0351
01:35.5,17.77344,1422.059203,156.7860217,521016.9269
01:36.5,18.26127044,1435.930286,230.3095995,246090.8138
01:37.5,20.70264422,659.9035953,150.9779438,307155.128
01:38.5,13.67181094,164.0317408,525.1016092,512611.1923
01:39.5,13.96465072,199.9895778,553.9711306,368620.7898
01:40.5,17.58290843,112.9963317,459.9850669,245752.0218
01:41.5,16.53362593,94.52282721,195.9379439,184508.5587
01:42.5,17.2849863,90.0087662,276.026883,183825.9033
01:43.5,17.69140812,89.59222701,192.9678736,109385.2175
01:44.6,17.9808979,51.20421499,140.8115912,170407.6275
01:45.6,13.96521995,89.99300365,176.9862405,1282460.297
01:46.6,13.46167839,78.74891831,216.5595254,181437.5078
01:47.6,11.23342593,149.0374975,283.0712201,184366.3862
01:48.6,8.593713437,46.99971893,101.99939,122879.2652
01:49.6,11.91845065,103.385038,336.739838,181485.0495
01:50.6,12.79375486,141.0021683,300.0046134,245763.7793
01:51.6,10.03512835,121.2057671,318.0439328,178725.1759
01:52.6,12.20747774,101.0022004,335.0072982,203268.4282
01:53.6,12.50411231,51.99777886,162.9930376,61437.37564
01:54.6,15.23389531,47.99628911,108.9915732,122870.5001
01:55.6,18.55427177,64.01270011,126.0557787,1267616.91
01:56.6,15.38739797,66.93314699,128.944739,155725.8723
01:57.7,12.30359945,113.2605284,1076.467457,181532.0052
01:58.7,12.30439183,131.0057639,301.0132439,306701.4941
01:59.7,12.20650324,114.9967088,315.9909564,306679.2229
02:00.7,12.11312277,139.9976677,216.996385,184316.9294
02:01.7,12.6876187,173.288643,259.9329645,241973.9597
02:02.7,12.4029707,114.004188,325.0119396,245769.0285
02:03.7,12.50011938,118.8432409,318.2248764,241379.4618
02:04.7,12.59445844,153.9853959,288.2290744,571593.7897
02:05.7,15.38365727,156.5280865,660.5682142,17131819.9
02:06.7,20.19178073,101.4309438,1021.202803,42473843.35
02:07.7,17.96871719,178.9449644,1194.632584,37652675.7
02:08.8,17.11565963,191.999412,909.7818293,37427999.1
